Station Name,Waterway,Year,Phosphorous_Average,Phosphorous_Min,Phosphorous_Max,x,y,NO2_NO3_Average,NO2_NO3_Min,NO2_NO3_Max,Fecal_Coliform_Average,Fecal_Coliform_Min,Fecal_Coliform_Max,Chlorophyll-A_Average,Chlorophyll-A_Min,Chlorophyll-A_Max,NH3_Average,NH3_Min,NH3_Max,Chloride_Average,Chloride_Min,Chloride_Max,TKN_Average,TKN_Min,TKN_Max,Total_Dissolved_Solids_Average,Total_Dissolved_Solids_Min,Total_Dissolved_Solids_Max,SO4_Average,SO4_Min,SO4_Max,Suspended_Solids_Average,Suspended_Solids_Min,Suspended_Solids_Max,TOC_Average,TOC_Min,TOC_Max
Springinsguth Rd.,West Branch Du Page River,2019,0.19,0.06,0.41,-9809372.143319122,5162219.006850576,0.64,0.38,0.9,830.0,170.0,28000.0,9.0,2,23.0,0.24,0.09,0.43,228.0,95,483.0,1,1,2,745.0,312.0,1176.0,50.0,22,88.0,23,3,130,9,3,11
Stephen Street,Chicago Sanitary and Ship Canal,2019,0.68,0.38,0.99,-9796052.154215598,5113077.68374999,4.11,2.68,6.32,610.0,120.0,2000.0,3.0,1,8.0,0.7,0.25,1.88,149.0,80,487.0,1,1,3,613.0,338.0,1200.0,76.0,49,117.0,13,7,24,4,2,5
Touhy Avenue,North Shore Channel,2019,1.22,0.53,1.84,-9763880.193364626,5162772.158302309,6.97,4.87,10.26,275.0,99.0,12000.0,1.0,0,2.0,0.8,0.13,1.83,155.0,81,830.0,2,1,3,700.0,350.0,1690.0,47.0,37,57.0,7,4,10,4,1,5
Wells Street,Chicago River,2019,0.27,0.01,0.62,-9755339.676982597,5144145.544547021,2.26,0.29,5.33,340.0,60.0,5200.0,2.0,1,3.0,0.26,0.04,0.67,44.0,17,471.0,1,&lt RL,1,391.0,160.0,1060.0,33.0,24,53.0,5,3,8,2,0,3
Wille Road,Higgins Creek,2019,0.54,0.15,1.62,-9789066.534741784,5163778.873133089,5.77,2.51,8.29,210.0,10.0,31000.0,3.0,0,8.0,0.26,0.16,0.4,177.0,116,859.0,1,1,3,773.0,528.0,1618.0,74.0,56,99.0,9,2,39,4,3,5
Willow Springs Road,Des Plaines River,2019,0.34,0.26,0.48,-9782918.22214516,5121485.94585754,2.12,1.34,3.21,350.0,120.0,520.0,3.0,2,3.0,0.11,0.02,0.26,122.0,70,149.0,1,0,1,444.0,386.0,500.0,43.0,29,52.0,16,13,19,5,4,6
Wilson Avenue,North Branch Chicago River,2019,1.11,0.69,1.38,-9762427.895694705,5155720.021993471,6.89,3.52,10.1,320.0,230.0,5600.0,2.0,1,9.0,0.7,0.27,1.86,129.0,92,599.0,1,1,3,574.0,386.0,1278.0,46.0,38,57.0,7,2,14,4,2,4
Albany Avenue,North Branch Chicago River,2018,0.28,0.14,0.42,-9764088.462110575,5156857.124687181,2.3,0.99,4.14,650.0,70.0,51000.0,10.0,2,30.0,0.11,0.04,0.24,149.0,73,506.0,1,0,1,611.0,356.0,1214.0,42.0,26,72.0,31,4,149,5,3,7
Archer Avenue,Bubbly Creek,2018,0.58,0.32,1.21,-9758696.948071493,5136817.240627698,3.3,0.06,6.08,115.0,9.0,82000.0,30.0,1,109.0,0.89,0.22,2.38,155.0,74,646.0,2,1,4,559.0,290.0,1264.0,45.0,32,61.0,14,6,30,5,2,12
Arlington Dr.,West Branch DuPage River,2018,1.58,0.51,3.18,-9811547.219382191,5157233.888994125,10.11,3.4,19.57,1750.0,140.0,8800.0,15.0,2,68.0,0.42,0.12,0.85,171.0,83,308.0,2,0,2,629.0,352.0,848.0,61.0,35,83.0,22,12,34,7,5,9
Ashland Avenue,Little Calumet River,2018,0.81,0.24,1.62,-9758345.734333793,5108959.791525536,3.3,1.56,5.57,285.0,30.0,6600.0,13.0,4,36.0,0.24,0.09,0.51,152.0,91,329.0,1,1,1,778.0,456.0,1234.0,183.0,84,431.0,27,6,109,5,4,8
Belmont Avenue,Des Plaines River,2018,0.22,0.14,0.35,-9779371.53102385,5151588.097147647,3.69,1.31,8.99,500.0,120.0,8600.0,5.0,1,10.0,0.11,0.02,0.25,160.0,60,277.0,1,&lt RL,1,573.0,316.0,790.0,53.0,23,81.0,14,6,27,6,5,7
Brookfield Avenue,Salt Creek,2018,0.86,0.31,2.08,-9778479.118246686,5134478.740255858,5.42,1.65,12.24,730.0,410.0,9100.0,5.0,1,10.0,0.16,0.01,0.32,154.0,77,384.0,1,&lt RL,1,663.0,364.0,994.0,67.0,29,98.0,19,4,37,7,3,26
Burnham Avenue,Grand Calumet River,2018,0.33,0.17,0.55,-9744810.951107476,5105915.20396417,4.89,3.85,6.6,280.0,40.0,20000.0,6.0,3,11.0,0.21,0.09,0.36,101.0,77,162.0,1,0,1,515.0,330.0,662.0,96.0,51,169.0,9,4,19,5,4,6
Cicero Avenue,Calumet-Sag Channel,2018,1.08,0.26,1.96,-9766975.298081215,5109491.834437173,3.78,2.65,5.24,80.0,10.0,860.0,12.0,1,42.0,0.33,0.15,1.02,153.0,98,250.0,1,1,2,596.0,498.0,688.0,110.0,78,139.0,16,8,33,5,4,6
Cicero Avenue,Chicago Sanitary and Ship Canal,2018,0.69,0.33,1.05,-9767527.508297496,5134013.305608013,4.87,3.2,7.23,120.0,9.0,780.0,5.0,1,29.0,0.55,0.22,0.9,135.0,60,784.0,1,1,2,571.0,268.0,1570.0,44.0,30,60.0,11,7,14,4,3,5
Dempster St.,North Shore Channel,2018,0.07,&lt RL,0.15,-9763803.49250606,5167131.2098396,0.45,0.02,1.22,75.0,9.0,2300.0,7.0,1,22.0,0.1,&lt RL,0.22,32.0,13,289.0,0,&lt RL,0,310.0,190.0,722.0,31.0,19,57.0,11,3,15,2,2,4
Devon Avenue,Salt Creek,2018,1.47,0.14,3.69,-9795587.075606022,5159923.790866642,8.62,1.06,21.07,785.0,40.0,11000.0,11.0,5,15.0,0.11,0.01,0.18,177.0,66,374.0,1,0,2,641.0,318.0,952.0,64.0,27,90.0,14,2,40,6,4,9
Diversey Parkway,North Branch Chicago River,2018,0.82,0.33,1.3,-9760793.273420712,5150867.342273781,6.01,2.98,7.92,300.0,90.0,2900.0,3.0,1,7.0,0.4,0.17,0.81,116.0,86,248.0,1,1,2,543.0,436.0,740.0,46.0,34,61.0,10,3,23,5,3,6
Elmhurst Road,Higgins Creek,2018,0.1,0.05,0.15,-9789503.463971144,5164194.269628853,0.43,0.1,0.82,1800.0,40.0,25000.0,10.0,2,31.0,0.13,0.03,0.4,170.0,91,445.0,1,0,1,726.0,340.0,1380.0,37.0,18,60.0,30,14,117,7,3,21
Halsted Street,Little Calumet River,2018,1.35,0.3,2.37,-9756147.689317685,5109826.122291395,4.91,3.14,7.6,90.0,10.0,1100.0,10.0,1,33.0,0.28,0.12,1.03,146.0,91,238.0,1,0,2,564.0,416.0,736.0,85.0,70,105.0,8,3,14,5,2,5
Harlem Avenue,Chicago Sanitary and Ship Canal,2018,0.44,0.26,0.86,-9774026.337077957,5131234.839862472,5.46,3.62,7.53,4000.0,1100.0,8800.0,3.0,1,12.0,0.47,0.17,1.37,159.0,81,646.0,1,1,2,595.0,364.0,1326.0,62.0,39,89.0,7,3,19,4,3,5
Higgins Road,Salt Creek,2018,0.09,&lt RL,0.17,-9797375.60963822,5165675.359292448,0.36,0.02,1.07,590.0,9.0,2200.0,8.0,5,15.0,0.11,&lt RL,0.3,206.0,55,589.0,1,&lt RL,1,690.0,278.0,1352.0,58.0,25,89.0,24,12,42,6,4,10
Indiana Avenue,Little Calumet River,2018,0.15,0.06,0.29,-9753472.18145782,5108772.571885121,2.64,1.43,3.78,10.0,9.0,170.0,12.0,2,40.0,0.19,0.02,0.61,107.0,58,130.0,1,0,1,427.0,294.0,522.0,77.0,48,97.0,11,5,22,4,3,5
Lockport Powerhouse,Chicago Sanitary and Ship Canal,2018,0.61,0.22,1.2,-9804834.0167114,5096870.642820761,4.47,2.58,6.53,160.0,9.0,1400.0,4.0,1,16.0,0.54,0.17,1.5,158.0,85,524.0,1,0,2,618.0,388.0,1228.0,85.0,47,115.0,10,3,40,5,2,7
Loomis Street,South Branch Chicago River,2018,0.74,0.3,1.22,-9758326.630046986,5137947.951214144,5.02,2.17,7.53,350.0,20.0,710.0,5.0,1,25.0,0.51,0.2,0.74,161.0,57,572.0,1,1,2,613.0,306.0,1190.0,48.0,29,60.0,14,6,33,4,3,7
Material Service Road,Des Plaines River,2018,0.42,0.2,1.08,-9803757.593335949,5100729.017568359,4.24,1.6,12.26,95.0,9.0,13000.0,8.0,2,19.0,0.08,0,0.18,207.0,99,334.0,1,&lt RL,1,656.0,390.0,894.0,61.0,36,96.0,16,4,42,6,4,8
Ogden Avenue,Des Plaines River,2018,0.39,0.19,0.72,-9775033.160497827,5134155.08934849,3.6,1.25,8.98,585.0,70.0,7200.0,5.0,1,10.0,0.08,&lt RL,0.15,165.0,60,324.0,1,1,1,601.0,296.0,882.0,54.0,22,82.0,17,3,30,6,5,8
Route 83,Calumet-Sag Channel,2018,1.09,0.36,1.97,-9789029.93158179,5115601.921870255,3.49,2.36,5.03,35.0,9.0,780.0,13.0,1,63.0,0.33,0.07,0.84,160.0,93,346.0,1,0,1,600.0,454.0,846.0,100.0,53,127.0,14,7,23,5,4,7
Springinsguth Rd.,West Branch Du Page River,2018,0.11,&lt RL,0.28,-9809372.143319122,5162219.006850576,0.8,0.26,1.64,2850.0,1400.0,45000.0,17.0,2,31.0,0.25,0.08,0.46,229.0,92,567.0,1,&lt RL,2,707.0,294.0,1290.0,48.0,25,78.0,17,3,64,11,6,15
Stephen Street,Chicago Sanitary and Ship Canal,2018,0.89,0.49,1.62,-9796052.154215598,5113077.68374999,4.36,3.03,6.18,680.0,170.0,2300.0,6.0,1,13.0,0.66,0.16,1.64,160.0,94,411.0,2,1,3,620.0,406.0,912.0,81.0,49,109.0,36,6,300,5,4,6
Touhy Avenue,North Shore Channel,2018,1.28,0.33,1.94,-9763880.193364626,5162772.158302309,6.95,3.4,9.14,240.0,91.0,8800.0,1.0,&lt RL,2.0,0.98,0.06,2.07,129.0,52,828.0,2,0,3,699.0,314.0,1668.0,49.0,23,61.0,6,4,8,4,3,6
Wells Street,Chicago River,2018,0.41,0.05,0.94,-9755339.676982597,5144145.544547021,2.44,0.13,5.03,370.0,210.0,2200.0,2.0,0,6.0,0.34,0.03,0.82,85.0,15,584.0,1,0,2,434.0,178.0,1214.0,36.0,22,52.0,6,2,9,3,2,4
Wille Road,Higgins Creek,2018,0.23,0.1,0.38,-9789066.534741784,5163778.873133089,5.59,3.76,7.36,565.0,20.0,5400.0,2.0,1,4.0,0.29,0.06,1.2,194.0,68,285.0,1,1,2,659.0,276.0,832.0,82.0,35,110.0,4,1,15,5,4,7
Willow Springs Road,Des Plaines River,2018,0.34,0.18,0.5,-9782918.22214516,5121485.94585754,3.64,2.04,6.2,280.0,30.0,560.0,7.0,3,13.0,0.11,0.01,0.19,269.0,149,338.0,1,0,1,730.0,514.0,918.0,64.0,42,92.0,14,4,28,5,5,6
Albany Avenue,North Branch Chicago River,2017,0.4,0.2,0.65,-9764088.462110575,5156857.124687181,4.63,0.58,9.78,200.0,100.0,2800.0,7.0,&lt RL,15.0,0.08,&lt RL,0.17,184.0,64,333.0,1,0,1,605.0,262.0,920.0,51.0,23,69.0,12,4,25,5,3,7
Archer Avenue,Bubbly Creek,2017,0.55,0.31,1.11,-9758696.948071493,5136817.240627698,2.37,0.19,7.94,620.0,9.0,11400000.0,35.0,1,213.0,1.47,0.08,4.2,123.0,62,477.0,3,2,7,497.0,302.0,934.0,43.0,27,56.0,19,5,63,5,3,12
Arlington Dr.,West Branch DuPage River,2017,1.72,0.23,3.58,-9811547.219382191,5157233.888994125,8.67,0.19,18.4,2550.0,100.0,15000.0,21.0,3,116.0,0.57,&lt RL,2.01,113.0,56,242.0,2,1,4,538.0,244.0,774.0,56.0,23,75.0,35,12,93,6,2,9
Ashland Avenue,Little Calumet River,2017,0.6,0.31,0.9,-9758345.734333793,5108959.791525536,2.63,1.31,4.09,270.0,30.0,9500.0,17.0,5,52.0,0.15,0.06,0.31,120.0,61,242.0,1,1,2,688.0,434.0,1176.0,196.0,78,386.0,38,9,135,5,3,6
Belmont Avenue,Des Plaines River,2017,0.42,0.18,0.98,-9779371.53102385,5151588.097147647,4.54,1.05,12.05,345.0,30.0,3100.0,4.0,1,11.0,0.1,0.04,0.17,151.0,75,241.0,1,0,1,567.0,370.0,784.0,54.0,28,75.0,23,5,60,5,4,8
Brookfield Avenue,Salt Creek,2017,1.16,0.26,2.73,-9778479.118246686,5134478.740255858,6.36,1.02,12.76,630.0,130.0,4700.0,3.0,0,9.0,0.11,0.02,0.24,157.0,109,366.0,1,1,1,638.0,386.0,888.0,73.0,35,96.0,20,3,70,7,2,12
Burnham Avenue,Grand Calumet River,2017,0.29,0.19,0.35,-9744810.951107476,5105915.20396417,5.23,3.7,8.09,300.0,80.0,2100.0,8.0,2,14.0,0.23,0.02,0.93,104.0,63,138.0,1,0,2,543.0,374.0,736.0,115.0,78,202.0,11,5,15,4,4,5
Cicero Avenue,Chicago Sanitary and Ship Canal,2017,0.67,0.28,1.31,-9767527.508297496,5134013.305608013,4.38,1.49,7.83,140.0,9.0,150000.0,8.0,1,40.0,0.63,0.15,1.31,107.0,41,344.0,2,1,3,456.0,244.0,826.0,42.0,23,57.0,12,6,37,4,2,5
Cicero Avenue,Calumet-Sag Channel,2017,0.84,0.35,1.67,-9766975.298081215,5109491.834437173,3.17,2.38,5.53,110.0,9.0,830.0,8.0,3,20.0,0.3,0.15,0.56,105.0,69,173.0,1,1,1,541.0,376.0,668.0,105.0,72,144.0,17,6,43,4,3,5
Dempster St.,North Shore Channel,2017,0.13,0.07,0.32,-9763803.49250606,5167131.2098396,0.25,0.03,0.59,50.0,10.0,510.0,11.0,2,54.0,0.27,&lt RL,1.39,28.0,13,134.0,1,0,2,239.0,146.0,410.0,30.0,21,49.0,16,4,45,2,2,4
Devon Avenue,Salt Creek,2017,2.01,0.21,4.63,-9795587.075606022,5159923.790866642,9.0,0.68,16.14,910.0,160.0,3200.0,9.0,2,18.0,0.11,0.01,0.28,148.0,114,312.0,1,1,1,626.0,472.0,842.0,68.0,40,97.0,11,4,25,5,3,7
Diversey Parkway,North Branch Chicago River,2017,1.11,0.43,1.88,-9760793.273420712,5150867.342273781,7.18,3.02,10.91,420.0,140.0,2900.0,2.0,1,5.0,0.8,0.19,1.68,140.0,69,214.0,2,1,3,491.0,282.0,646.0,49.0,28,60.0,11,5,24,4,3,5
Elmhurst Road,Higgins Creek,2017,0.09,0.06,0.12,-9789503.463971144,5164194.269628853,0.28,0.08,0.47,270.0,110.0,1200.0,10.0,2,20.0,0.13,0.09,0.2,141.0,131,325.0,1,0,1,593.0,428.0,880.0,60.0,40,81.0,24,13,40,6,4,9
Halsted Street,Little Calumet River,2017,0.73,0.34,1.4,-9756147.689317685,5109826.122291395,3.96,2.24,6.32,70.0,20.0,2900.0,10.0,0,22.0,0.24,0.07,0.45,110.0,63,187.0,1,1,1,505.0,340.0,694.0,79.0,66,102.0,8,4,17,4,3,5
Harlem Avenue,Chicago Sanitary and Ship Canal,2017,0.59,0.26,1.94,-9774026.337077957,5131234.839862472,5.6,2.56,9.18,6400.0,1300.0,62000.0,3.0,0,9.0,0.62,0.23,1.36,120.0,70,245.0,2,1,3,498.0,362.0,698.0,60.0,33,83.0,7,4,15,4,3,5
Higgins Road,Salt Creek,2017,0.12,0.07,0.16,-9797375.60963822,5165675.359292448,0.28,0.01,1.03,130.0,40.0,5100.0,16.0,7,38.0,0.08,0.01,0.18,193.0,81,352.0,1,1,1,605.0,282.0,944.0,62.0,23,90.0,30,10,82,6,3,8
Indiana Avenue,Little Calumet River,2017,0.12,0.08,0.15,-9753472.18145782,5108772.571885121,2.13,1.09,2.95,10.0,9.0,140.0,12.0,1,27.0,0.2,0,0.57,82.0,42,153.0,1,0,1,432.0,268.0,560.0,79.0,45,100.0,12,5,31,3,2,5
Lockport Powerhouse,Chicago Sanitary and Ship Canal,2017,0.63,0.29,1.44,-9804834.0167114,5096870.642820761,4.55,2.72,6.81,140.0,9.0,18000.0,5.0,&lt RL,24.0,0.51,0.1,1.46,130.0,76,446.0,1,1,2,557.0,386.0,1094.0,86.0,53,136.0,15,4,52,4,3,6
Loomis Street,South Branch Chicago River,2017,0.77,0.3,1.36,-9758326.630046986,5137947.951214144,4.97,1.16,8.71,1490.0,20.0,110000.0,3.0,1,9.0,0.57,0.03,1.12,118.0,47,573.0,1,0,2,499.0,240.0,1180.0,44.0,26,61.0,11,6,19,4,2,6
Material Service Road,Des Plaines River,2017,0.46,0.25,0.86,-9803757.593335949,5100729.017568359,4.04,1.18,8.51,35.0,9.0,28000.0,6.0,2,13.0,0.09,&lt RL,0.46,163.0,93,279.0,1,0,1,590.0,326.0,800.0,59.0,29,85.0,24,5,97,5,3,6
Oakton Street,Higgins Creek,2017,0.42,0.08,2.31,-9790431.138942769,5164381.759368491,1.67,0.1,9.1,260.0,140.0,30000.0,10.0,2,32.0,0.09,&lt RL,0.2,132.0,12,527.0,1,0,1,673.0,366.0,1126.0,31.0,17,65.0,19,3,54,5,3,7
Ogden Avenue,Des Plaines River,2017,0.58,0.21,1.37,-9775033.160497827,5134155.08934849,4.71,1.12,11.44,480.0,140.0,14000.0,4.0,2,9.0,0.08,&lt RL,0.22,161.0,100,269.0,1,1,1,584.0,382.0,762.0,59.0,32,79.0,19,4,46,5,4,9
Route 83,Calumet-Sag Channel,2017,1.07,0.5,1.93,-9789029.93158179,5115601.921870255,2.76,2.08,3.31,30.0,10.0,2000.0,15.0,&lt RL,49.0,0.76,0.1,5.66,118.0,68,184.0,1,1,2,559.0,404.0,734.0,108.0,66,158.0,19,8,39,5,4,5
Springinsguth Rd.,West Branch Du Page River,2017,0.24,0.1,1.18,-9809372.143319122,5162219.006850576,0.7,0.09,2.48,3400.0,550.0,34000.0,16.0,3,51.0,0.48,0.09,1.66,183.0,1,388.0,2,1,4,660.0,222.0,1066.0,62.0,20,88.0,20,4,70,11,7,21
Stephen Street,Chicago Sanitary and Ship Canal,2017,0.65,0.34,1.34,-9796052.154215598,5113077.68374999,4.08,1.61,6.76,980.0,60.0,480000.0,6.0,&lt RL,20.0,0.43,0.16,0.77,122.0,55,327.0,1,1,2,539.0,264.0,864.0,77.0,37,122.0,23,7,66,4,3,5
Touhy Avenue,North Shore Channel,2017,1.62,0.84,2.57,-9763880.193364626,5162772.158302309,8.11,4.5,9.95,255.0,10.0,10000.0,1.0,0,3.0,1.42,0.11,4.07,116.0,58,174.0,2,1,6,476.0,304.0,658.0,50.0,39,62.0,7,4,9,4,4,5
Wells Street,Chicago River,2017,0.34,0.09,0.96,-9755339.676982597,5144145.544547021,2.52,0.04,6.47,2850.0,130.0,16000.0,2.0,&lt RL,3.0,0.36,0.12,0.81,47.0,14,424.0,1,0,2,351.0,136.0,942.0,33.0,22,54.0,6,2,14,3,1,7
Wille Road,Higgins Creek,2017,0.42,0.15,1.24,-9789066.534741784,5163778.873133089,6.61,2.12,9.24,700.0,9.0,23000.0,2.0,1,3.0,0.31,0.09,1.75,163.0,114,253.0,1,1,2,646.0,398.0,784.0,77.0,30,97.0,5,2,23,5,3,7
Willow Springs Road,Des Plaines River,2017,0.54,0.19,1.15,-9782918.22214516,5121485.94585754,4.43,1.09,9.53,240.0,30.0,39000.0,4.0,0,10.0,0.15,&lt RL,0.78,151.0,109,265.0,1,1,2,572.0,380.0,740.0,67.0,33,101.0,22,5,51,5,4,7
Albany Avenue,North Branch Chicago River,2016,0.48,0.18,0.95,-9764088.462110575,5156857.124687181,3.06,1.5,6.43,450.0,50.0,5500.0,10.0,1,38.0,0.23,&lt RL,1.93,227.0,159,489.0,1,1,3,751.0,532.0,1060.0,53.0,42,67.0,16,4,51,4,3,6
Archer Avenue,Bubbly Creek,2016,0.65,0.25,1.53,-9758696.948071493,5136817.240627698,3.0,0.14,8.77,85.0,10.0,280000.0,41.0,2,94.0,1.53,0.4,4.85,114.0,84,330.0,3,2,7,510.0,336.0,866.0,41.0,33,58.0,13,5,18,4,3,7
Arlington Dr.,West Branch DuPage River,2016,1.69,0.44,3.01,-9811547.219382191,5157233.888994125,8.76,1.98,15.89,1200.0,9.0,7100.0,11.0,4,19.0,0.41,&lt RL,1.01,154.0,113,427.0,2,1,3,659.0,434.0,1124.0,64.0,46,84.0,32,11,79,6,5,8
Ashland Avenue,Little Calumet River,2016,0.7,0.31,1.63,-9758345.734333793,5108959.791525536,3.85,1.04,8.54,290.0,20.0,5300.0,23.0,2,176.0,0.11,&lt RL,0.23,182.0,53,284.0,1,1,1,957.0,248.0,1698.0,310.0,47,747.0,39,11,139,5,4,7
Belmont Avenue,Des Plaines River,2016,0.46,0.18,0.78,-9779371.53102385,5151588.097147647,3.82,1.58,6.11,210.0,9.0,650.0,4.0,1,8.0,0.06,&lt RL,0.26,192.0,121,329.0,1,1,2,686.0,510.0,912.0,64.0,44,88.0,18,9,30,5,4,8
Brookfield Avenue,Salt Creek,2016,0.95,0.41,1.67,-9778479.118246686,5134478.740255858,5.17,1.45,8.8,420.0,40.0,1200.0,5.0,1,18.0,0.09,&lt RL,0.28,205.0,126,520.0,1,1,1,730.0,394.0,1288.0,77.0,47,116.0,24,6,70,4,3,5
Burnham Avenue,Grand Calumet River,2016,0.45,0.16,0.77,-9744810.951107476,5105915.20396417,0.24,0.05,0.53,330.0,9.0,11000.0,57.0,5,256.0,0.73,&lt RL,1.48,94.0,21,136.0,3,2,4,701.0,226.0,1280.0,122.0,52,190.0,25,10,84,10,4,16
Cicero Avenue,Chicago Sanitary and Ship Canal,2016,0.81,0.47,1.39,-9767527.508297496,5134013.305608013,4.82,1.9,9.06,50.0,9.0,11000.0,6.0,1,14.0,0.79,0.38,1.69,96.0,64,319.0,2,1,3,545.0,338.0,864.0,47.0,35,65.0,10,5,26,3,3,4
Cicero Avenue,Calumet-Sag Channel,2016,1.1,0.43,2.04,-9766975.298081215,5109491.834437173,3.6,2.11,5.02,120.0,9.0,920.0,6.0,&lt RL,23.0,0.23,0.03,0.34,118.0,62,223.0,1,1,1,568.0,302.0,796.0,98.0,46,171.0,18,5,36,4,3,5
Dempster St.,North Shore Channel,2016,0.11,0.02,0.28,-9763803.49250606,5167131.2098396,0.41,0.15,1.34,50.0,10.0,310.0,14.0,1,45.0,0.12,&lt RL,0.47,30.0,14,278.0,1,0,1,299.0,172.0,732.0,34.0,20,76.0,11,4,15,2,1,4
Devon Avenue,Salt Creek,2016,1.47,0.22,3.44,-9795587.075606022,5159923.790866642,6.53,0.57,13.61,350.0,9.0,4600.0,12.0,6,21.0,0.04,&lt RL,0.17,173.0,42,399.0,1,1,2,711.0,466.0,1070.0,71.0,47,108.0,12,4,26,5,3,6
Diversey Parkway,North Branch Chicago River,2016,1.33,0.49,2.57,-9760793.273420712,5150867.342273781,7.28,3.14,10.97,520.0,80.0,3800.0,3.0,0,10.0,0.58,0.06,1.2,172.0,99,324.0,2,1,3,614.0,428.0,918.0,51.0,38,62.0,13,8,23,4,3,5
Halsted Street,Little Calumet River,2016,1.27,0.6,2.05,-9756147.689317685,5109826.122291395,4.98,4.14,7.08,40.0,9.0,2300.0,6.0,0,18.0,0.13,&lt RL,0.22,129.0,76,201.0,1,1,2,531.0,366.0,686.0,68.0,50,90.0,10,5,24,4,3,4
Harlem Avenue,Chicago Sanitary and Ship Canal,2016,0.63,0.22,1.26,-9774026.337077957,5131234.839862472,5.7,4.04,7.25,2500.0,1100.0,31000.0,3.0,1,10.0,0.75,0.24,2.19,118.0,45,386.0,2,1,3,671.0,380.0,1256.0,71.0,47,95.0,7,4,8,4,2,5
Higgins Road,Salt Creek,2016,0.11,0.05,0.18,-9797375.60963822,5165675.359292448,0.2,0.05,0.45,50.0,9.0,900.0,13.0,6,21.0,0.09,&lt RL,0.4,185.0,142,712.0,1,1,1,762.0,496.0,1606.0,58.0,39,87.0,24,12,62,5,3,7
Indiana Avenue,Little Calumet River,2016,0.11,0.03,0.38,-9753472.18145782,5108772.571885121,0.49,0.29,0.98,10.0,9.0,110.0,16.0,3,49.0,0.06,&lt RL,0.18,66.0,46,107.0,1,0,1,320.0,234.0,418.0,45.0,35,56.0,14,5,48,2,2,3
Lockport Powerhouse,Chicago Sanitary and Ship Canal,2016,0.72,0.3,1.43,-9804834.0167114,5096870.642820761,4.6,2.41,8.78,90.0,9.0,3200.0,4.0,1,13.0,0.54,0.12,1.23,133.0,71,343.0,1,1,2,622.0,322.0,934.0,88.0,44,122.0,11,3,69,4,3,6
Loomis Street,South Branch Chicago River,2016,0.75,0.34,1.67,-9758326.630046986,5137947.951214144,4.55,2.17,7.8,270.0,50.0,2000.0,5.0,0,13.0,0.56,0.05,1.13,111.0,65,306.0,1,1,2,529.0,318.0,820.0,44.0,30,56.0,8,3,11,3,2,5
Material Service Road,Des Plaines River,2016,0.52,0.24,0.75,-9803757.593335949,5100729.017568359,3.45,1.65,5.51,80.0,9.0,360.0,7.0,2,22.0,0.04,&lt RL,0.15,208.0,109,440.0,1,1,2,631.0,450.0,888.0,68.0,41,100.0,20,4,33,5,3,7
Oakton Street,Higgins Creek,2016,0.09,0.05,0.16,-9790431.138942769,5164381.759368491,0.43,0.24,1.03,615.0,40.0,2100.0,8.0,1,24.0,0.02,&lt RL,0.21,164.0,33,587.0,1,1,1,753.0,358.0,1558.0,39.0,24,92.0,15,3,38,4,3,5
Ogden Avenue,Des Plaines River,2016,0.55,0.25,0.94,-9775033.160497827,5134155.08934849,3.77,1.62,6.68,195.0,30.0,1300.0,5.0,1,10.0,0.07,&lt RL,0.17,203.0,121,403.0,1,1,2,689.0,474.0,1084.0,68.0,47,98.0,19,5,43,5,4,8
Route 83,Calumet-Sag Channel,2016,0.95,0.48,1.5,-9789029.93158179,5115601.921870255,3.54,1.79,4.96,45.0,9.0,1400.0,5.0,2,15.0,0.24,&lt RL,0.84,129.0,59,231.0,1,1,2,586.0,298.0,738.0,107.0,49,166.0,17,5,28,4,3,5
Springinsguth Rd.,West Branch Du Page River,2016,0.2,0.06,0.31,-9809372.143319122,5162219.006850576,0.57,0.4,0.68,3100.0,9.0,23000.0,19.0,1,76.0,0.38,0.03,0.94,199.0,155,782.0,2,1,3,839.0,538.0,1780.0,61.0,32,109.0,15,3,37,11,6,17
Stephen Street,Chicago Sanitary and Ship Canal,2016,0.81,0.32,1.68,-9796052.154215598,5113077.68374999,4.55,3.05,6.08,260.0,40.0,4100.0,6.0,2,13.0,0.63,0.33,1.15,124.0,89,316.0,2,1,2,637.0,408.0,874.0,86.0,60,112.0,12,6,22,4,3,5
Touhy Avenue,North Shore Channel,2016,1.84,0.6,3.01,-9763880.193364626,5162772.158302309,7.92,4.84,11.31,150.0,20.0,31000.0,2.0,&lt RL,5.0,1.22,0.14,2.6,110.0,77,238.0,2,1,3,648.0,416.0,1958.0,50.0,37,66.0,7,4,12,4,3,6
Wells Street,Chicago River,2016,0.34,0.05,0.76,-9755339.676982597,5144145.544547021,2.09,0.44,5.42,2700.0,140.0,23000.0,2.0,&lt RL,8.0,0.25,&lt RL,0.68,65.0,17,253.0,1,0,2,347.0,180.0,706.0,33.0,23,49.0,6,2,9,2,1,3
Wille Road,Higgins Creek,2016,0.39,0.16,0.69,-9789066.534741784,5163778.873133089,5.96,2.97,8.93,380.0,9.0,2700.0,3.0,1,8.0,0.21,0.02,0.58,171.0,101,433.0,1,1,3,731.0,496.0,1102.0,78.0,47,101.0,4,3,10,4,3,6
