Station Name,Station Description,Parameter Description,Units,Year,Result Count,Result Min,Result Max,Result Median,Waterway,x,y
Devon Avenue,Salt Creek at Devon Avenue,Fecal Coliform ,CFU/100mL,2023,11,120,6100,730,Salt Creek,-9795587.075606022,5159923.790866642
Diversey Parkway,North Branch Chicago River at Diversey Parkway,Fecal Coliform ,CFU/100mL,2023,12,120,4600,425,North Branch Chicago River,-9760793.273420712,5150867.342273781
Elmhurst Road,Higgins Creek at Elmhurst Road,Fecal Coliform ,CFU/100mL,2023,11,50,29000,420,Higgins Creek,-9789503.463971145,5164194.269628853
Halsted Street,Little Calumet River at Halsted Street,Fecal Coliform ,CFU/100mL,2023,12,9,3700,85,Little Calumet River,-9756147.689317683,5109826.122291395
Harlem Avenue,Chicago Sanitary and Ship Canal at Harlem Avenue,Fecal Coliform ,CFU/100mL,2023,12,1400,25000,6150,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
Higgins Road,Salt Creek at Higgins Road,Fecal Coliform ,CFU/100mL,2023,11,30,710,240,Salt Creek,-9797375.60963822,5165675.359292448
Indiana Avenue,Little Calumet River at Indiana Avenue,Fecal Coliform ,CFU/100mL,2023,12,9,840,10,Little Calumet River,-9753472.181457821,5108772.571885121
Lincoln Street,Weller Creek at Lincoln Street,Fecal Coliform ,CFU/100mL,2023,11,350,2000000,2600,Weller Creek,-9791310.180190712,5169842.130070917
Lockport Powerhouse,Chicago Sanitary and Ship Canal at Lockport Powerhouse Forebay,Fecal Coliform ,CFU/100mL,2023,51,9,11000,160,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
Loomis Street,South Branch Chicago River at Loomis Street,Fecal Coliform ,CFU/100mL,2023,12,9,6200,55,South Branch Chicago River,-9758326.630046986,5137947.951214144
Material Service Road,Des Plaines River at Material Service Road,Fecal Coliform ,CFU/100mL,2023,11,9,930,50,Des Plaines River,-9803757.593335949,5100729.017568359
Ogden Avenue,Des Plaines River at Ogden Avenue,Fecal Coliform ,CFU/100mL,2023,11,40,2200,530,Des Plaines River,-9775033.160497827,5134155.08934849
Route 83,Calumet-Sag Channel at Route 83,Fecal Coliform ,CFU/100mL,2023,12,10,4800,100,Calumet-Sag Channel,-9789029.93158179,5115601.921870255
Springinsguth Rd.,West Branch DuPage River at Springinsguth Road,Fecal Coliform ,CFU/100mL,2023,11,130,7600,1200,West Branch Du Page River,-9809372.143319122,5162219.006850576
Stephen Street,Chicago Sanitary and Ship Canal at Stephen Street,Fecal Coliform ,CFU/100mL,2023,12,80,8400,555,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
Touhy Avenue,North Shore Channel at Touhy Avenue,Fecal Coliform ,CFU/100mL,2023,12,150,15000,490,North Shore Channel,-9763880.193364626,5162772.158302309
Washington Avenue,Salt Creek at Washington Avenue,Fecal Coliform ,CFU/100mL,2023,5,280,2900,1100,Salt Creek,-9778632.442307537,5135217.403079835
Wells Street,Chicago River at Wells Street,Fecal Coliform ,CFU/100mL,2023,12,50,4500,125,Chicago River,-9755339.676982595,5144145.544547021
Wille Road,Higgins Creek at Wille Road,Fecal Coliform ,CFU/100mL,2023,11,9,7900,310,Higgins Creek,-9789066.534741784,5163778.873133089
Willow Springs Road,Des Plaines River at Willow Springs Road,Fecal Coliform ,CFU/100mL,2023,11,20,1600,330,Des Plaines River,-9782918.22214516,5121485.94585754
Wilson Avenue,North Branch Chicago River at Wilson Avenue,Fecal Coliform ,CFU/100mL,2023,12,160,31000,470,North Branch Chicago River,-9762427.895694703,5155720.021993471
Albany Avenue,North Branch Chicago River at Albany Avenue,Fecal Coliform ,CFU/100mL,2022,12,40,16000,430,North Branch Chicago River,-9764088.462110577,5156857.124687181
Archer Avenue,Bubbly Creek at Archer Avenue,Fecal Coliform ,CFU/100mL,2022,9,9,210,50,Bubbly Creek,-9758696.948071491,5136817.240627698
Arlington Dr.,West Branch DuPage River at Arlington Drive,Fecal Coliform ,CFU/100mL,2022,12,120,89000,3100,West Branch DuPage River,-9811547.219382191,5157233.888994125
