Station Name,Station Description,Parameter Description,Units,Year,Result Count,Result Min,Result Max,Result Median,Waterway,x,y
Halsted Street,Little Calumet River at Halsted Street,Chloride,mg/L,2024,18,91,301,129,Little Calumet River,-9756147.689317683,5109826.122291395
Harlem Avenue,Chicago Sanitary and Ship Canal at Harlem Avenue,Chloride,mg/L,2024,12,58,398,129,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
Higgins Road,Salt Creek at Higgins Road,Chloride,mg/L,2024,12,117,465,197,Salt Creek,-9797375.60963822,5165675.359292448
Indiana Avenue,Little Calumet River at Indiana Avenue,Chloride,mg/L,2024,12,65,287,144,Little Calumet River,-9753472.181457821,5108772.571885121
Lincoln Street,Weller Creek at Lincoln Street,Chloride,mg/L,2024,12,81,688,330,Weller Creek,-9791310.180190712,5169842.130070917
Lockport Powerhouse,Chicago Sanitary and Ship Canal at Lockport Powerhouse Forebay,Chloride,mg/L,2024,53,86,464,127,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
Loomis Street,South Branch Chicago River at Loomis Street,Chloride,mg/L,2024,12,50,370,108,South Branch Chicago River,-9758326.630046986,5137947.951214144
Material Service Road,Des Plaines River at Material Service Road,Chloride,mg/L,2024,12,99,287,164,Des Plaines River,-9803757.593335949,5100729.017568359
Ogden Avenue,Des Plaines River at Ogden Avenue,Chloride,mg/L,2024,12,105,397,165,Des Plaines River,-9775033.160497827,5134155.08934849
Route 83,Calumet-Sag Channel at Route 83,Chloride,mg/L,2024,12,86,242,154,Calumet-Sag Channel,-9789029.93158179,5115601.921870255
Springinsguth Rd.,West Branch DuPage River at Springinsguth Road,Chloride,mg/L,2024,12,98,907,219,West Branch Du Page River,-9809372.143319122,5162219.006850576
Stephen Street,Chicago Sanitary and Ship Canal at Stephen Street,Chloride,mg/L,2024,12,92,469,142,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
Touhy Avenue,North Shore Channel at Touhy Avenue,Chloride,mg/L,2024,12,50,185,100,North Shore Channel,-9763880.193364626,5162772.158302309
Wells Street,Chicago River at Wells Street,Chloride,mg/L,2024,12,18,325,50,Chicago River,-9755339.676982595,5144145.544547021
Wille Road,Higgins Creek at Wille Road,Chloride,mg/L,2024,12,109,385,147,Higgins Creek,-9789066.534741784,5163778.873133089
Willow Springs Road,Des Plaines River at Willow Springs Road,Chloride,mg/L,2024,12,101,417,167,Des Plaines River,-9782918.22214516,5121485.94585754
Wilson Avenue,North Branch Chicago River at Wilson Avenue,Chloride,mg/L,2024,12,52,267,107,North Branch Chicago River,-9762427.895694703,5155720.021993471
Albany Avenue,North Branch Chicago River at Albany Avenue,Chloride,mg/L,2023,12,164,329,209,North Branch Chicago River,-9764088.462110577,5156857.124687181
Archer Avenue,Bubbly Creek at Archer Avenue,Chloride,mg/L,2023,12,69,363,124,Bubbly Creek,-9758696.948071491,5136817.240627698
Arlington Dr.,West Branch DuPage River at Arlington Drive,Chloride,mg/L,2023,12,103,347,162,West Branch DuPage River,-9811547.219382191,5157233.888994125
Ashland Avenue,Little Calumet River at Ashland Avenue,Chloride,mg/L,2023,12,95,583,135,Little Calumet River,-9758345.734333793,5108959.791525536
Belmont Avenue,Des Plaines River at Belmont Avenue,Chloride,mg/L,2023,12,163,443,191,Des Plaines River,-9779371.53102385,5151588.097147647
Brookfield Avenue,Salt Creek at Brookfield Avenue,Chloride,mg/L,2023,6,157,181,166,Salt Creek,-9778479.118246686,5134478.740255858
Burnham Avenue,Grand Calumet River at Burnham Avenue,Chloride,mg/L,2023,12,95,264,156,Grand Calumet River,-9744810.951107476,5105915.20396417
Cicero Avenue,Chicago Sanitary and Ship Canal at Cicero Avenue,Chloride,mg/L,2023,12,53,298,116,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
Cicero Avenue,Calumet-Sag Channel at Cicero Avenue,Chloride,mg/L,2023,18,104,531,147,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
Dempster St.,North Shore Channel at Dempster Street,Chloride,mg/L,2023,12,15,321,69,North Shore Channel,-9763803.492506059,5167131.2098396
Devon Avenue,Salt Creek at Devon Avenue,Chloride,mg/L,2023,12,129,293,177,Salt Creek,-9795587.075606022,5159923.790866642
Diversey Parkway,North Branch Chicago River at Diversey Parkway,Chloride,mg/L,2023,12,91,308,124,North Branch Chicago River,-9760793.273420712,5150867.342273781
Elmhurst Road,Higgins Creek at Elmhurst Road,Chloride,mg/L,2023,12,177,857,334,Higgins Creek,-9789503.463971145,5164194.269628853
Halsted Street,Little Calumet River at Halsted Street,Chloride,mg/L,2023,12,89,387,146,Little Calumet River,-9756147.689317683,5109826.122291395
Harlem Avenue,Chicago Sanitary and Ship Canal at Harlem Avenue,Chloride,mg/L,2023,12,83,317,139,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
Higgins Road,Salt Creek at Higgins Road,Chloride,mg/L,2023,12,203,493,250,Salt Creek,-9797375.60963822,5165675.359292448
Indiana Avenue,Little Calumet River at Indiana Avenue,Chloride,mg/L,2023,12,64,172,122,Little Calumet River,-9753472.181457821,5108772.571885121
Lincoln Street,Weller Creek at Lincoln Street,Chloride,mg/L,2023,12,260,785,350,Weller Creek,-9791310.180190712,5169842.130070917
Lockport Powerhouse,Chicago Sanitary and Ship Canal at Lockport Powerhouse Forebay,Chloride,mg/L,2023,52,93,612,145,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
Loomis Street,South Branch Chicago River at Loomis Street,Chloride,mg/L,2023,12,65,648,111,South Branch Chicago River,-9758326.630046986,5137947.951214144
Material Service Road,Des Plaines River at Material Service Road,Chloride,mg/L,2023,12,155,400,196,Des Plaines River,-9803757.593335949,5100729.017568359
Ogden Avenue,Des Plaines River at Ogden Avenue,Chloride,mg/L,2023,12,166,369,194,Des Plaines River,-9775033.160497827,5134155.08934849
Route 83,Calumet-Sag Channel at Route 83,Chloride,mg/L,2023,11,96,257,121,Calumet-Sag Channel,-9789029.93158179,5115601.921870255
Springinsguth Rd.,West Branch DuPage River at Springinsguth Road,Chloride,mg/L,2023,12,193,482,295,West Branch Du Page River,-9809372.143319122,5162219.006850576
Stephen Street,Chicago Sanitary and Ship Canal at Stephen Street,Chloride,mg/L,2023,12,81,449,140,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
Touhy Avenue,North Shore Channel at Touhy Avenue,Chloride,mg/L,2023,12,87,259,110,North Shore Channel,-9763880.193364626,5162772.158302309
Washington Avenue,Salt Creek at Washington Avenue,Chloride,mg/L,2023,6,239,389,260,Salt Creek,-9778632.442307537,5135217.403079835
Wells Street,Chicago River at Wells Street,Chloride,mg/L,2023,12,16,505,54,Chicago River,-9755339.676982595,5144145.544547021
