Station Number,Station Name,Station Description,Parameter Description,Units of Measure,Result Count,Year,Result Average,Result Min,Result Max,Waterway,x,y
91,Material Service Road,Des Plaines River at Material Service Road,"Phosphorous, total",mg/L,12,2021,0.47,0.08,0.7,Des Plaines River,-9803757.593335949,5100729.017568359
22,Ogden Avenue,Des Plaines River at Ogden Avenue,"Phosphorous, total",mg/L,11,2021,0.69,0.11,1.36,Des Plaines River,-9775033.160497827,5134155.08934849
42,Route 83,Chicago Sanitary and Ship Canal at Route 83,"Phosphorous, total",mg/L,14,2021,0.83,0.47,1.57,Chicago Sanitary and Ship Canal,-9789421.360370245,5116449.74955103
43,Route 83,Calumet-Sag Channel at Route 83,"Phosphorous, total",mg/L,11,2021,1.52,0.66,2.71,Calumet-Sag Channel,-9789029.93158179,5115601.921870255
110,Springinsguth Rd.,West Branch DuPage River at Springinsguth Road,"Phosphorous, total",mg/L,11,2021,0.23,&lt RL,0.56,West Branch Du Page River,-9809372.143319122,5162219.006850576
48,Stephen Street,Chicago Sanitary and Ship Canal at Stephen Street,"Phosphorous, total",mg/L,10,2021,0.98,0.64,1.37,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
36,Touhy Avenue,North Shore Channel at Touhy Avenue,"Phosphorous, total",mg/L,12,2021,1.4,0.78,2.3,North Shore Channel,-9763880.193364626,5162772.158302309
128,Washington Avenue,Salt Creek at Washington Avenue,"Phosphorous, total",mg/L,3,2021,1.77,0.25,2.67,Salt Creek,-9778632.442307537,5135217.403079835
100,Wells Street,Chicago River at Wells Street,"Phosphorous, total",mg/L,10,2021,0.28,&lt RL,0.57,Chicago River,-9755339.676982595,5144145.544547021
78,Wille Road,Higgins Creek at Wille Road,"Phosphorous, total",mg/L,11,2021,0.47,&lt RL,0.91,Higgins Creek,-9789066.534741784,5163778.873133089
23,Willow Springs Road,Des Plaines River at Willow Springs Road,"Phosphorous, total",mg/L,12,2021,0.58,0.07,0.92,Des Plaines River,-9782918.22214516,5121485.94585754
37,Wilson Avenue,North Branch Chicago River at Wilson Avenue,"Phosphorous, total",mg/L,12,2021,1.03,0.67,1.42,North Branch Chicago River,-9762427.895694703,5155720.021993471
55,130th Street,Calumet River at 130th Street,"Phosphorous, total",mg/L,5,2020,0.03,0.01,0.05,Calumet River,-9748530.69045206,5110104.230203494
96,Albany Avenue,North Branch Chicago River at Albany Avenue,"Phosphorous, total",mg/L,12,2020,0.32,0.1,0.51,North Branch Chicago River,-9764088.462110577,5156857.124687181
99,Archer Avenue,Bubbly Creek at Archer Avenue,"Phosphorous, total",mg/L,11,2020,0.61,0.29,1.31,Bubbly Creek,-9758696.948071491,5136817.240627698
111,Arlington Dr.,West Branch DuPage River at Arlington Drive,"Phosphorous, total",mg/L,11,2020,2.05,0.83,3.33,West Branch DuPage River,-9811547.219382191,5157233.888994125
57,Ashland Avenue,Little Calumet River at Ashland Avenue,"Phosphorous, total",mg/L,16,2020,0.95,0.27,2.74,Little Calumet River,-9758345.734333793,5108959.791525536
19,Belmont Avenue,Des Plaines River at Belmont Avenue,"Phosphorous, total",mg/L,12,2020,0.27,0.02,0.53,Des Plaines River,-9779371.53102385,5151588.097147647
109,Brookfield Avenue,Salt Creek at Brookfield Avenue,"Phosphorous, total",mg/L,12,2020,1.07,0.19,2.12,Salt Creek,-9778479.118246686,5134478.740255858
86,Burnham Avenue,Grand Calumet River at Burnham Avenue,"Phosphorous, total",mg/L,16,2020,0.26,0.13,0.51,Grand Calumet River,-9744810.951107476,5105915.20396417
75,Cicero Avenue,Chicago Sanitary and Ship Canal at Cicero Avenue,"Phosphorous, total",mg/L,11,2020,0.61,0.28,1.19,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
59,Cicero Avenue,Calumet-Sag Channel at Cicero Avenue,"Phosphorous, total",mg/L,11,2020,1.18,0.41,2.5,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
112,Dempster St.,North Shore Channel at Dempster Street,"Phosphorous, total",mg/L,12,2020,0.17,0.04,0.61,North Shore Channel,-9763803.492506059,5167131.2098396
18,Devon Avenue,Salt Creek at Devon Avenue,"Phosphorous, total",mg/L,11,2020,1.73,0.34,4.31,Salt Creek,-9795587.075606022,5159923.790866642
73,Diversey Parkway,North Branch Chicago River at Diversey Parkway,"Phosphorous, total",mg/L,12,2020,1.23,0.27,2.41,North Branch Chicago River,-9760793.273420712,5150867.342273781
77,Elmhurst Road,Higgins Creek at Elmhurst Road,"Phosphorous, total",mg/L,12,2020,0.1,&lt RL,0.21,Higgins Creek,-9789503.463971145,5164194.269628853
76,Halsted Street,Little Calumet River at Halsted Street,"Phosphorous, total",mg/L,11,2020,1.06,0.48,2.35,Little Calumet River,-9756147.689317683,5109826.122291395
41,Harlem Avenue,Chicago Sanitary and Ship Canal at Harlem Avenue,"Phosphorous, total",mg/L,11,2020,0.7,0.29,1.11,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
79,Higgins Road,Salt Creek at Higgins Road,"Phosphorous, total",mg/L,12,2020,0.07,&lt RL,0.15,Salt Creek,-9797375.60963822,5165675.359292448
56,Indiana Avenue,Little Calumet River at Indiana Avenue,"Phosphorous, total",mg/L,11,2020,0.13,0.07,0.2,Little Calumet River,-9753472.181457821,5108772.571885121
92,Lockport Powerhouse,Chicago Sanitary and Ship Canal at Lockport Powerhouse Forebay,"Phosphorous, total",mg/L,46,2020,0.96,0.37,2.11,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
108,Loomis Street,South Branch Chicago River at Loomis Street,"Phosphorous, total",mg/L,11,2020,0.77,0.36,1.56,South Branch Chicago River,-9758326.630046986,5137947.951214144
91,Material Service Road,Des Plaines River at Material Service Road,"Phosphorous, total",mg/L,12,2020,0.35,0.14,0.66,Des Plaines River,-9803757.593335949,5100729.017568359
22,Ogden Avenue,Des Plaines River at Ogden Avenue,"Phosphorous, total",mg/L,12,2020,0.48,0.13,0.83,Des Plaines River,-9775033.160497827,5134155.08934849
42,Route 83,Chicago Sanitary and Ship Canal at Route 83,"Phosphorous, total",mg/L,5,2020,1.04,0.71,1.31,Chicago Sanitary and Ship Canal,-9789421.360370245,5116449.74955103
43,Route 83,Calumet-Sag Channel at Route 83,"Phosphorous, total",mg/L,10,2020,1.41,0.44,2.67,Calumet-Sag Channel,-9789029.93158179,5115601.921870255
110,Springinsguth Rd.,West Branch DuPage River at Springinsguth Road,"Phosphorous, total",mg/L,12,2020,0.16,&lt RL,0.46,West Branch Du Page River,-9809372.143319122,5162219.006850576
48,Stephen Street,Chicago Sanitary and Ship Canal at Stephen Street,"Phosphorous, total",mg/L,10,2020,1.05,0.44,1.54,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
36,Touhy Avenue,North Shore Channel at Touhy Avenue,"Phosphorous, total",mg/L,12,2020,1.49,0.51,2.84,North Shore Channel,-9763880.193364626,5162772.158302309
100,Wells Street,Chicago River at Wells Street,"Phosphorous, total",mg/L,11,2020,0.3,0.03,0.69,Chicago River,-9755339.676982595,5144145.544547021
78,Wille Road,Higgins Creek at Wille Road,"Phosphorous, total",mg/L,12,2020,0.5,0.08,1.98,Higgins Creek,-9789066.534741784,5163778.873133089
23,Willow Springs Road,Des Plaines River at Willow Springs Road,"Phosphorous, total",mg/L,12,2020,0.42,0.13,0.67,Des Plaines River,-9782918.22214516,5121485.94585754
37,Wilson Avenue,North Branch Chicago River at Wilson Avenue,"Phosphorous, total",mg/L,12,2020,1.34,0.42,2.6,North Branch Chicago River,-9762427.895694703,5155720.021993471
96,Albany Avenue,North Branch Chicago River at Albany Avenue,"Phosphorous, total",mg/L,12,2019,0.28,0.07,0.66,North Branch Chicago River,-9764088.462110577,5156857.124687181
99,Archer Avenue,Bubbly Creek at Archer Avenue,"Phosphorous, total",mg/L,9,2019,0.48,0.21,0.91,Bubbly Creek,-9758696.948071491,5136817.240627698
111,Arlington Dr.,West Branch DuPage River at Arlington Drive,"Phosphorous, total",mg/L,11,2019,1.5,0.52,3.13,West Branch DuPage River,-9811547.219382191,5157233.888994125
57,Ashland Avenue,Little Calumet River at Ashland Avenue,"Phosphorous, total",mg/L,10,2019,0.52,0.32,1.15,Little Calumet River,-9758345.734333793,5108959.791525536
19,Belmont Avenue,Des Plaines River at Belmont Avenue,"Phosphorous, total",mg/L,11,2019,0.29,0.13,0.52,Des Plaines River,-9779371.53102385,5151588.097147647
109,Brookfield Avenue,Salt Creek at Brookfield Avenue,"Phosphorous, total",mg/L,11,2019,0.77,0.23,1.77,Salt Creek,-9778479.118246686,5134478.740255858
86,Burnham Avenue,Grand Calumet River at Burnham Avenue,"Phosphorous, total",mg/L,11,2019,0.33,0.22,0.44,Grand Calumet River,-9744810.951107476,5105915.20396417
75,Cicero Avenue,Chicago Sanitary and Ship Canal at Cicero Avenue,"Phosphorous, total",mg/L,11,2019,0.57,0.25,1.18,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
59,Cicero Avenue,Calumet-Sag Channel at Cicero Avenue,"Phosphorous, total",mg/L,10,2019,1.14,0.38,2.15,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
112,Dempster St.,North Shore Channel at Dempster Street,"Phosphorous, total",mg/L,10,2019,0.04,&lt RL,0.11,North Shore Channel,-9763803.492506059,5167131.2098396
18,Devon Avenue,Salt Creek at Devon Avenue,"Phosphorous, total",mg/L,12,2019,1.28,0.16,3.69,Salt Creek,-9795587.075606022,5159923.790866642
73,Diversey Parkway,North Branch Chicago River at Diversey Parkway,"Phosphorous, total",mg/L,12,2019,0.99,0.39,1.78,North Branch Chicago River,-9760793.273420712,5150867.342273781
77,Elmhurst Road,Higgins Creek at Elmhurst Road,"Phosphorous, total",mg/L,11,2019,0.17,0.06,0.73,Higgins Creek,-9789503.463971145,5164194.269628853
76,Halsted Street,Little Calumet River at Halsted Street,"Phosphorous, total",mg/L,10,2019,0.99,0.4,1.77,Little Calumet River,-9756147.689317683,5109826.122291395
41,Harlem Avenue,Chicago Sanitary and Ship Canal at Harlem Avenue,"Phosphorous, total",mg/L,11,2019,0.51,0.23,1.12,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
79,Higgins Road,Salt Creek at Higgins Road,"Phosphorous, total",mg/L,11,2019,0.15,&lt RL,0.36,Salt Creek,-9797375.60963822,5165675.359292448
56,Indiana Avenue,Little Calumet River at Indiana Avenue,"Phosphorous, total",mg/L,10,2019,0.12,0.05,0.21,Little Calumet River,-9753472.181457821,5108772.571885121
92,Lockport Powerhouse,Chicago Sanitary and Ship Canal at Lockport Powerhouse Forebay,"Phosphorous, total",mg/L,48,2019,0.7,0.26,1.41,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
108,Loomis Street,South Branch Chicago River at Loomis Street,"Phosphorous, total",mg/L,9,2019,0.65,0.26,1,South Branch Chicago River,-9758326.630046986,5137947.951214144
91,Material Service Road,Des Plaines River at Material Service Road,"Phosphorous, total",mg/L,11,2019,0.35,0.16,0.58,Des Plaines River,-9803757.593335949,5100729.017568359
22,Ogden Avenue,Des Plaines River at Ogden Avenue,"Phosphorous, total",mg/L,10,2019,0.38,0.14,0.72,Des Plaines River,-9775033.160497827,5134155.08934849
43,Route 83,Calumet-Sag Channel at Route 83,"Phosphorous, total",mg/L,10,2019,0.82,0.34,1.19,Calumet-Sag Channel,-9789029.93158179,5115601.921870255
110,Springinsguth Rd.,West Branch DuPage River at Springinsguth Road,"Phosphorous, total",mg/L,11,2019,0.19,0.06,0.41,West Branch Du Page River,-9809372.143319122,5162219.006850576
48,Stephen Street,Chicago Sanitary and Ship Canal at Stephen Street,"Phosphorous, total",mg/L,11,2019,0.68,0.38,0.99,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
36,Touhy Avenue,North Shore Channel at Touhy Avenue,"Phosphorous, total",mg/L,12,2019,1.22,0.53,1.84,North Shore Channel,-9763880.193364626,5162772.158302309
100,Wells Street,Chicago River at Wells Street,"Phosphorous, total",mg/L,11,2019,0.27,0.01,0.62,Chicago River,-9755339.676982595,5144145.544547021
78,Wille Road,Higgins Creek at Wille Road,"Phosphorous, total",mg/L,9,2019,0.54,0.15,1.62,Higgins Creek,-9789066.534741784,5163778.873133089
23,Willow Springs Road,Des Plaines River at Willow Springs Road,"Phosphorous, total",mg/L,4,2019,0.34,0.26,0.48,Des Plaines River,-9782918.22214516,5121485.94585754
37,Wilson Avenue,North Branch Chicago River at Wilson Avenue,"Phosphorous, total",mg/L,8,2019,1.11,0.69,1.38,North Branch Chicago River,-9762427.895694703,5155720.021993471
96,Albany Avenue,North Branch Chicago River at Albany Avenue,"Phosphorous, total",mg/L,9,2018,0.28,0.14,0.42,North Branch Chicago River,-9764088.462110577,5156857.124687181
99,Archer Avenue,Bubbly Creek at Archer Avenue,"Phosphorous, total",mg/L,11,2018,0.58,0.32,1.21,Bubbly Creek,-9758696.948071491,5136817.240627698
111,Arlington Dr.,West Branch DuPage River at Arlington Drive,"Phosphorous, total",mg/L,11,2018,1.58,0.51,3.18,West Branch DuPage River,-9811547.219382191,5157233.888994125
57,Ashland Avenue,Little Calumet River at Ashland Avenue,"Phosphorous, total",mg/L,12,2018,0.81,0.24,1.62,Little Calumet River,-9758345.734333793,5108959.791525536
19,Belmont Avenue,Des Plaines River at Belmont Avenue,"Phosphorous, total",mg/L,9,2018,0.22,0.14,0.35,Des Plaines River,-9779371.53102385,5151588.097147647
109,Brookfield Avenue,Salt Creek at Brookfield Avenue,"Phosphorous, total",mg/L,10,2018,0.86,0.31,2.08,Salt Creek,-9778479.118246686,5134478.740255858
86,Burnham Avenue,Grand Calumet River at Burnham Avenue,"Phosphorous, total",mg/L,12,2018,0.33,0.17,0.55,Grand Calumet River,-9744810.951107476,5105915.20396417
59,Cicero Avenue,Calumet-Sag Channel at Cicero Avenue,"Phosphorous, total",mg/L,12,2018,1.08,0.26,1.96,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
75,Cicero Avenue,Chicago Sanitary and Ship Canal at Cicero Avenue,"Phosphorous, total",mg/L,12,2018,0.69,0.33,1.05,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
112,Dempster St.,North Shore Channel at Dempster Street,"Phosphorous, total",mg/L,8,2018,0.07,&lt RL,0.15,North Shore Channel,-9763803.492506059,5167131.2098396
18,Devon Avenue,Salt Creek at Devon Avenue,"Phosphorous, total",mg/L,11,2018,1.47,0.14,3.69,Salt Creek,-9795587.075606022,5159923.790866642
73,Diversey Parkway,North Branch Chicago River at Diversey Parkway,"Phosphorous, total",mg/L,9,2018,0.82,0.33,1.3,North Branch Chicago River,-9760793.273420712,5150867.342273781
77,Elmhurst Road,Higgins Creek at Elmhurst Road,"Phosphorous, total",mg/L,8,2018,0.1,0.05,0.15,Higgins Creek,-9789503.463971145,5164194.269628853
76,Halsted Street,Little Calumet River at Halsted Street,"Phosphorous, total",mg/L,12,2018,1.35,0.3,2.37,Little Calumet River,-9756147.689317683,5109826.122291395
41,Harlem Avenue,Chicago Sanitary and Ship Canal at Harlem Avenue,"Phosphorous, total",mg/L,12,2018,0.44,0.26,0.86,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
79,Higgins Road,Salt Creek at Higgins Road,"Phosphorous, total",mg/L,9,2018,0.09,&lt RL,0.17,Salt Creek,-9797375.60963822,5165675.359292448
56,Indiana Avenue,Little Calumet River at Indiana Avenue,"Phosphorous, total",mg/L,12,2018,0.15,0.06,0.29,Little Calumet River,-9753472.181457821,5108772.571885121
92,Lockport Powerhouse,Chicago Sanitary and Ship Canal at Lockport Powerhouse Forebay,"Phosphorous, total",mg/L,49,2018,0.61,0.22,1.2,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
108,Loomis Street,South Branch Chicago River at Loomis Street,"Phosphorous, total",mg/L,10,2018,0.74,0.3,1.22,South Branch Chicago River,-9758326.630046986,5137947.951214144
91,Material Service Road,Des Plaines River at Material Service Road,"Phosphorous, total",mg/L,11,2018,0.42,0.2,1.08,Des Plaines River,-9803757.593335949,5100729.017568359
22,Ogden Avenue,Des Plaines River at Ogden Avenue,"Phosphorous, total",mg/L,9,2018,0.39,0.19,0.72,Des Plaines River,-9775033.160497827,5134155.08934849
43,Route 83,Calumet-Sag Channel at Route 83,"Phosphorous, total",mg/L,12,2018,1.09,0.36,1.97,Calumet-Sag Channel,-9789029.93158179,5115601.921870255
110,Springinsguth Rd.,West Branch DuPage River at Springinsguth Road,"Phosphorous, total",mg/L,9,2018,0.11,&lt RL,0.28,West Branch Du Page River,-9809372.143319122,5162219.006850576
48,Stephen Street,Chicago Sanitary and Ship Canal at Stephen Street,"Phosphorous, total",mg/L,12,2018,0.89,0.49,1.62,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
36,Touhy Avenue,North Shore Channel at Touhy Avenue,"Phosphorous, total",mg/L,11,2018,1.28,0.33,1.94,North Shore Channel,-9763880.193364626,5162772.158302309
100,Wells Street,Chicago River at Wells Street,"Phosphorous, total",mg/L,12,2018,0.41,0.05,0.94,Chicago River,-9755339.676982595,5144145.544547021
78,Wille Road,Higgins Creek at Wille Road,"Phosphorous, total",mg/L,11,2018,0.23,0.1,0.38,Higgins Creek,-9789066.534741784,5163778.873133089
23,Willow Springs Road,Des Plaines River at Willow Springs Road,"Phosphorous, total",mg/L,5,2018,0.34,0.18,0.5,Des Plaines River,-9782918.22214516,5121485.94585754
96,Albany Avenue,North Branch Chicago River at Albany Avenue,"Phosphorous, total",mg/L,11,2017,0.4,0.2,0.65,North Branch Chicago River,-9764088.462110577,5156857.124687181
99,Archer Avenue,Bubbly Creek at Archer Avenue,"Phosphorous, total",mg/L,12,2017,0.55,0.31,1.11,Bubbly Creek,-9758696.948071491,5136817.240627698
111,Arlington Dr.,West Branch DuPage River at Arlington Drive,"Phosphorous, total",mg/L,12,2017,1.72,0.23,3.58,West Branch DuPage River,-9811547.219382191,5157233.888994125
57,Ashland Avenue,Little Calumet River at Ashland Avenue,"Phosphorous, total",mg/L,11,2017,0.6,0.31,0.9,Little Calumet River,-9758345.734333793,5108959.791525536
19,Belmont Avenue,Des Plaines River at Belmont Avenue,"Phosphorous, total",mg/L,12,2017,0.42,0.18,0.98,Des Plaines River,-9779371.53102385,5151588.097147647
109,Brookfield Avenue,Salt Creek at Brookfield Avenue,"Phosphorous, total",mg/L,12,2017,1.16,0.26,2.73,Salt Creek,-9778479.118246686,5134478.740255858
86,Burnham Avenue,Grand Calumet River at Burnham Avenue,"Phosphorous, total",mg/L,11,2017,0.29,0.19,0.35,Grand Calumet River,-9744810.951107476,5105915.20396417
75,Cicero Avenue,Chicago Sanitary and Ship Canal at Cicero Avenue,"Phosphorous, total",mg/L,12,2017,0.67,0.28,1.31,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
59,Cicero Avenue,Calumet-Sag Channel at Cicero Avenue,"Phosphorous, total",mg/L,11,2017,0.84,0.35,1.67,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
112,Dempster St.,North Shore Channel at Dempster Street,"Phosphorous, total",mg/L,11,2017,0.13,0.07,0.32,North Shore Channel,-9763803.492506059,5167131.2098396
18,Devon Avenue,Salt Creek at Devon Avenue,"Phosphorous, total",mg/L,12,2017,2.01,0.21,4.63,Salt Creek,-9795587.075606022,5159923.790866642
73,Diversey Parkway,North Branch Chicago River at Diversey Parkway,"Phosphorous, total",mg/L,11,2017,1.11,0.43,1.88,North Branch Chicago River,-9760793.273420712,5150867.342273781
77,Elmhurst Road,Higgins Creek at Elmhurst Road,"Phosphorous, total",mg/L,3,2017,0.09,0.06,0.12,Higgins Creek,-9789503.463971145,5164194.269628853
76,Halsted Street,Little Calumet River at Halsted Street,"Phosphorous, total",mg/L,11,2017,0.73,0.34,1.4,Little Calumet River,-9756147.689317683,5109826.122291395
41,Harlem Avenue,Chicago Sanitary and Ship Canal at Harlem Avenue,"Phosphorous, total",mg/L,12,2017,0.59,0.26,1.94,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
79,Higgins Road,Salt Creek at Higgins Road,"Phosphorous, total",mg/L,10,2017,0.12,0.07,0.16,Salt Creek,-9797375.60963822,5165675.359292448
56,Indiana Avenue,Little Calumet River at Indiana Avenue,"Phosphorous, total",mg/L,11,2017,0.12,0.08,0.15,Little Calumet River,-9753472.181457821,5108772.571885121
92,Lockport Powerhouse,Chicago Sanitary and Ship Canal at Lockport Powerhouse Forebay,"Phosphorous, total",mg/L,46,2017,0.63,0.29,1.44,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
108,Loomis Street,South Branch Chicago River at Loomis Street,"Phosphorous, total",mg/L,12,2017,0.77,0.3,1.36,South Branch Chicago River,-9758326.630046986,5137947.951214144
91,Material Service Road,Des Plaines River at Material Service Road,"Phosphorous, total",mg/L,12,2017,0.46,0.25,0.86,Des Plaines River,-9803757.593335949,5100729.017568359
113,Oakton Street,Higgins Creek at Oakton Street,"Phosphorous, total",mg/L,7,2017,0.42,0.08,2.31,Higgins Creek,-9790431.138942767,5164381.759368491
22,Ogden Avenue,Des Plaines River at Ogden Avenue,"Phosphorous, total",mg/L,12,2017,0.58,0.21,1.37,Des Plaines River,-9775033.160497827,5134155.08934849
43,Route 83,Calumet-Sag Channel at Route 83,"Phosphorous, total",mg/L,11,2017,1.07,0.5,1.93,Calumet-Sag Channel,-9789029.93158179,5115601.921870255
110,Springinsguth Rd.,West Branch DuPage River at Springinsguth Road,"Phosphorous, total",mg/L,11,2017,0.24,0.1,1.18,West Branch Du Page River,-9809372.143319122,5162219.006850576
48,Stephen Street,Chicago Sanitary and Ship Canal at Stephen Street,"Phosphorous, total",mg/L,12,2017,0.65,0.34,1.34,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
36,Touhy Avenue,North Shore Channel at Touhy Avenue,"Phosphorous, total",mg/L,12,2017,1.62,0.84,2.57,North Shore Channel,-9763880.193364626,5162772.158302309
100,Wells Street,Chicago River at Wells Street,"Phosphorous, total",mg/L,12,2017,0.34,0.09,0.96,Chicago River,-9755339.676982595,5144145.544547021
78,Wille Road,Higgins Creek at Wille Road,"Phosphorous, total",mg/L,12,2017,0.42,0.15,1.24,Higgins Creek,-9789066.534741784,5163778.873133089
23,Willow Springs Road,Des Plaines River at Willow Springs Road,"Phosphorous, total",mg/L,11,2017,0.54,0.19,1.15,Des Plaines River,-9782918.22214516,5121485.94585754
96,Albany Avenue,North Branch Chicago River at Albany Avenue,"Phosphorous, total",mg/L,12,2016,0.48,0.18,0.95,North Branch Chicago River,-9764088.462110577,5156857.124687181
99,Archer Avenue,Bubbly Creek at Archer Avenue,"Phosphorous, total",mg/L,9,2016,0.65,0.25,1.53,Bubbly Creek,-9758696.948071491,5136817.240627698
111,Arlington Dr.,West Branch DuPage River at Arlington Drive,"Phosphorous, total",mg/L,12,2016,1.69,0.44,3.01,West Branch DuPage River,-9811547.219382191,5157233.888994125
57,Ashland Avenue,Little Calumet River at Ashland Avenue,"Phosphorous, total",mg/L,10,2016,0.7,0.31,1.63,Little Calumet River,-9758345.734333793,5108959.791525536
19,Belmont Avenue,Des Plaines River at Belmont Avenue,"Phosphorous, total",mg/L,12,2016,0.46,0.18,0.78,Des Plaines River,-9779371.53102385,5151588.097147647
109,Brookfield Avenue,Salt Creek at Brookfield Avenue,"Phosphorous, total",mg/L,12,2016,0.95,0.41,1.67,Salt Creek,-9778479.118246686,5134478.740255858
86,Burnham Avenue,Grand Calumet River at Burnham Avenue,"Phosphorous, total",mg/L,10,2016,0.45,0.16,0.77,Grand Calumet River,-9744810.951107476,5105915.20396417
75,Cicero Avenue,Chicago Sanitary and Ship Canal at Cicero Avenue,"Phosphorous, total",mg/L,11,2016,0.81,0.47,1.39,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
59,Cicero Avenue,Calumet-Sag Channel at Cicero Avenue,"Phosphorous, total",mg/L,11,2016,1.1,0.43,2.04,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
112,Dempster St.,North Shore Channel at Dempster Street,"Phosphorous, total",mg/L,10,2016,0.11,0.02,0.28,North Shore Channel,-9763803.492506059,5167131.2098396
18,Devon Avenue,Salt Creek at Devon Avenue,"Phosphorous, total",mg/L,12,2016,1.47,0.22,3.44,Salt Creek,-9795587.075606022,5159923.790866642
73,Diversey Parkway,North Branch Chicago River at Diversey Parkway,"Phosphorous, total",mg/L,12,2016,1.33,0.49,2.57,North Branch Chicago River,-9760793.273420712,5150867.342273781
76,Halsted Street,Little Calumet River at Halsted Street,"Phosphorous, total",mg/L,10,2016,1.27,0.6,2.05,Little Calumet River,-9756147.689317683,5109826.122291395
41,Harlem Avenue,Chicago Sanitary and Ship Canal at Harlem Avenue,"Phosphorous, total",mg/L,12,2016,0.63,0.22,1.26,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
79,Higgins Road,Salt Creek at Higgins Road,"Phosphorous, total",mg/L,9,2016,0.11,0.05,0.18,Salt Creek,-9797375.60963822,5165675.359292448
56,Indiana Avenue,Little Calumet River at Indiana Avenue,"Phosphorous, total",mg/L,10,2016,0.11,0.03,0.38,Little Calumet River,-9753472.181457821,5108772.571885121
92,Lockport Powerhouse,Chicago Sanitary and Ship Canal at Lockport Powerhouse Forebay,"Phosphorous, total",mg/L,49,2016,0.72,0.3,1.43,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
108,Loomis Street,South Branch Chicago River at Loomis Street,"Phosphorous, total",mg/L,12,2016,0.75,0.34,1.67,South Branch Chicago River,-9758326.630046986,5137947.951214144
91,Material Service Road,Des Plaines River at Material Service Road,"Phosphorous, total",mg/L,12,2016,0.52,0.24,0.75,Des Plaines River,-9803757.593335949,5100729.017568359
113,Oakton Street,Higgins Creek at Oakton Street,"Phosphorous, total",mg/L,8,2016,0.09,0.05,0.16,Higgins Creek,-9790431.138942767,5164381.759368491
22,Ogden Avenue,Des Plaines River at Ogden Avenue,"Phosphorous, total",mg/L,12,2016,0.55,0.25,0.94,Des Plaines River,-9775033.160497827,5134155.08934849
43,Route 83,Calumet-Sag Channel at Route 83,"Phosphorous, total",mg/L,11,2016,0.95,0.48,1.5,Calumet-Sag Channel,-9789029.93158179,5115601.921870255
110,Springinsguth Rd.,West Branch DuPage River at Springinsguth Road,"Phosphorous, total",mg/L,11,2016,0.2,0.06,0.31,West Branch Du Page River,-9809372.143319122,5162219.006850576
48,Stephen Street,Chicago Sanitary and Ship Canal at Stephen Street,"Phosphorous, total",mg/L,12,2016,0.81,0.32,1.68,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
36,Touhy Avenue,North Shore Channel at Touhy Avenue,"Phosphorous, total",mg/L,12,2016,1.84,0.6,3.01,North Shore Channel,-9763880.193364626,5162772.158302309
100,Wells Street,Chicago River at Wells Street,"Phosphorous, total",mg/L,11,2016,0.34,0.05,0.76,Chicago River,-9755339.676982595,5144145.544547021
78,Wille Road,Higgins Creek at Wille Road,"Phosphorous, total",mg/L,11,2016,0.39,0.16,0.69,Higgins Creek,-9789066.534741784,5163778.873133089
23,Willow Springs Road,Des Plaines River at Willow Springs Road,"Phosphorous, total",mg/L,11,2016,0.49,0.25,0.77,Des Plaines River,-9782918.22214516,5121485.94585754
96,Albany Avenue,North Branch Chicago River at Albany Avenue,"Phosphorous, total",mg/L,9,2015,0.52,0.22,0.85,North Branch Chicago River,-9764088.462110577,5156857.124687181
99,Archer Avenue,Bubbly Creek at Archer Avenue,"Phosphorous, total",mg/L,10,2015,0.57,0.29,0.96,Bubbly Creek,-9758696.948071491,5136817.240627698
