Station Number,Station Name,Station Description,Parameter Name,Parameter Description,Units of Measure,Year,Result Count,Result Average,Result Min,Result Max,Waterway,x,y
29,Stephen Street,Des Plaines River at Stephen Street,NO2+NO3,Nitrate-Nitrite,mg/L-N,2001,10,3.53,2.24,5.1,Des Plaines River,-9796385.089554068,5113414.579669373
31,Lake-Cook Road,Middle Fork North Branch Chicago River at Lake-Cook Road,NO2+NO3,Nitrate-Nitrite,mg/L-N,2001,10,0.3,0.23,0.42,Middle Fork North Branch Chicago River,-9775428.966959778,5183330.473761027
32,Lake-Cook Road,Skokie River at Lake-Cook Road,NO2+NO3,Nitrate-Nitrite,mg/L-N,2001,10,0.41,0.22,0.54,Skokie River,-9773171.65434657,5183881.030230567
34,Dempster Street,North Branch Chicago River at Dempster Street,NO2+NO3,Nitrate-Nitrite,mg/L-N,2001,10,2.58,0.03,4.6,North Branch Chicago River,-9772519.197048591,5167261.607014383
35,Central Street,North Shore Channel at Central Street,NO2+NO3,Nitrate-Nitrite,mg/L-N,2001,9,0.28,0.16,0.39,North Shore Channel,-9761286.946422856,5170628.6171330195
36,Touhy Avenue,North Shore Channel at Touhy Avenue,NO2+NO3,Nitrate-Nitrite,mg/L-N,2001,10,5.89,4.07,7.4,North Shore Channel,-9763880.193364626,5162772.158302309
37,Wilson Avenue,North Branch Chicago River at Wilson Avenue,NO2+NO3,Nitrate-Nitrite,mg/L-N,2001,10,6.5,3.81,8.47,North Branch Chicago River,-9762427.895694703,5155720.021993471
39,Madison Street,South Branch Chicago River at Madison Street,NO2+NO3,Nitrate-Nitrite,mg/L-N,2001,10,3.63,2.06,5.67,South Branch Chicago River,-9755836.894673718,5143332.001117509
41,Harlem Avenue,Chicago Sanitary and Ship Canal at Harlem Avenue,NO2+NO3,Nitrate-Nitrite,mg/L-N,2001,10,6.48,4.36,8.75,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
42,Route 83,Chicago Sanitary and Ship Canal at Route 83,NO2+NO3,Nitrate-Nitrite,mg/L-N,2001,10,5.65,3.19,9.21,Chicago Sanitary and Ship Canal,-9789421.360370245,5116449.74955103
