Station Number,Station Name,Station Description,Parameter Name,Parameter Description,Units of Measure,Year,Result Count,Result Average,Result Min,Result Max,Waterway,x,y
59,Cicero Avenue,Calumet-Sag Channel at Cicero Avenue,SO4   ,Sulfate,mg/L,2001,10,114,67,169,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
64,Lake Street,West Branch Du Page River at Lake Street,SO4   ,Sulfate,mg/L,2001,11,76,59,90,West Branch Du Page River,-9810939.89297938,5157781.364521299
73,Diversey Parkway,North Branch Chicago River at Diversey Parkway,SO4   ,Sulfate,mg/L,2001,10,57,46,76,North Branch Chicago River,-9760793.273420712,5150867.342273781
74,Lake Shore Drive,Chicago River at Lake Shore Drive,SO4   ,Sulfate,mg/L,2001,10,31,16,57,Chicago River,-9753112.184339533,5144283.186382862
75,Cicero Avenue,Chicago Sanitary and Ship Canal at Cicero Avenue,SO4   ,Sulfate,mg/L,2001,10,44,22,68,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
76,Halsted Street,Little Calumet River at Halsted Street,SO4   ,Sulfate,mg/L,2001,10,103,66,190,Little Calumet River,-9756147.689317683,5109826.122291395
77,Elmhurst Road,Higgins Creek at Elmhurst Road,SO4   ,Sulfate,mg/L,2001,10,52,32,85,Higgins Creek,-9789503.463971145,5164194.269628853
78,Wille Road,Higgins Creek at Wille Road,SO4   ,Sulfate,mg/L,2001,11,110,78,129,Higgins Creek,-9789066.534741784,5163778.873133089
79,Higgins Road,Salt Creek at Higgins Road,SO4   ,Sulfate,mg/L,2001,11,87,66,124,Salt Creek,-9797375.60963822,5165675.359292448
80,Arlington Heights Road,Salt Creek at Arlington Heights Road,SO4   ,Sulfate,mg/L,2001,11,83,70,100,Salt Creek,-9796254.99295483,5162818.28541295
86,Burnham Avenue,Grand Calumet River at Burnham Avenue,SO4   ,Sulfate,mg/L,2001,9,186,159,223,Grand Calumet River,-9744810.951107476,5105915.20396417
89,Walnut Street,West Branch Du Page River at Walnut Street,SO4   ,Sulfate,mg/L,2001,11,71,60,84,West Branch Du Page River,-9811290.549648687,5160344.011074602
90,Route 19,Poplar Creek at Route 19,SO4   ,Sulfate,mg/L,2001,11,64,49,73,Poplar Creek,-9823047.74711789,5165577.94301833
91,Material Service Road,Des Plaines River at Material Service Road,SO4   ,Sulfate,mg/L,2001,45,80,51,110,Des Plaines River,-9803757.593335949,5100729.017568359
92,Lockport Powerhouse,Chicago Sanitary and Ship Canal at Lockport Powerhouse Forebay,SO4   ,Sulfate,mg/L,2001,47,88,46,126,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
96,Albany Avenue,North Branch Chicago River at Albany Avenue,SO4   ,Sulfate,mg/L,2001,10,65,42,85,North Branch Chicago River,-9764088.462110577,5156857.124687181
97,170th Street,Thorn Creek at 170th Street,SO4   ,Sulfate,mg/L,2001,11,257,98,355,Thorn Creek,-9748874.28283881,5099238.777878965
99,Archer Avenue,Bubbly Creek at Archer Avenue,SO4   ,Sulfate,mg/L,2001,10,52,26,81,Bubbly Creek,-9758696.948071491,5136817.240627698
100,Wells Street,Chicago River at Wells Street,SO4   ,Sulfate,mg/L,2002,12,37,22,60,Chicago River,-9755339.676982595,5144145.544547021
101,Foster Avenue,North Shore Channel at Foster Avenue,SO4   ,Sulfate,mg/L,2002,12,51,41,66,North Shore Channel,-9763248.504184216,5157380.484896455
102,Oakton Street,North Shore Channel at Oakton Street,SO4   ,Sulfate,mg/L,2002,11,43,24,66,North Shore Channel,-9763838.713194087,5164984.791142569
103,Golf Road,West Fork North Branch Chicago River at Golf Road,SO4   ,Sulfate,mg/L,2002,11,65,42,80,West Fork North Branch Chicago River,-9771841.694236573,5169273.313312094
104,Glenview Road,North Branch Chicago River at Glenview Road,SO4   ,Sulfate,mg/L,2002,9,64,48,78,North Branch Chicago River,-9770990.71844705,5171319.185344051
105,Frontage Road,Skokie River at Frontage Road,SO4   ,Sulfate,mg/L,2002,12,65,49,84,Skokie River,-9769467.187323028,5174142.560835846
106,Dundee Road,West Fork North Branch Chicago River at Dundee Road,SO4   ,Sulfate,mg/L,2002,6,62,47,71,West Fork North Branch Chicago River,-9777719.3660057,5181767.818476338
108,Loomis Street,South Branch Chicago River at Loomis Street,SO4   ,Sulfate,mg/L,2002,12,49,33,79,South Branch Chicago River,-9758326.630046986,5137947.951214144
109,Brookfield Avenue,Salt Creek at Brookfield Avenue,SO4   ,Sulfate,mg/L,2002,6,84,49,108,Salt Creek,-9778479.118246686,5134478.740255858
12,Lake-Cook Road,Buffalo Creek at Lake-Cook Road,SO4   ,Sulfate,mg/L,2002,7,96,75,130,Buffalo Creek,-9792683.493154097,5183751.728609537
